
"Banco de México"

"Agregados monetarios y activos financieros internos"
"Agregados monetarios (metodología 2018)"

"Fecha de consulta: 26/11/2025 09:24:55"

""

"Título","Agregados Monetarios, M2"
"Periodo disponible","Dic 2000 - Sep 2025"
"Periodicidad","Mensual"
"Cifra","Saldos"
"Unidad","Miles de Pesos"
"Base",""
"Aviso",""
"Tipo de información","Niveles"
"Fecha","SF311418"
01/01/2010,4081855490.04
01/02/2010,4094608048.47
01/03/2010,4032744721.84
01/04/2010,4019684814.78
01/05/2010,4093547244.14
01/06/2010,4132719561.04
01/07/2010,4152034064.13
01/08/2010,4231955534.09
01/09/2010,4193951327.16
01/10/2010,4294427496.00
01/11/2010,4297482580.87
01/12/2010,4442009701.88
01/01/2011,4431859293.31
01/02/2011,4441379303.50
01/03/2011,4444644901.49
01/04/2011,4476820113.73
01/05/2011,4470236062.30
01/06/2011,4527262924.48
01/07/2011,4565834754.97
01/08/2011,4608944108.85
01/09/2011,4631368842.80
01/10/2011,4722292965.65
01/11/2011,4786314213.94
01/12/2011,4960125962.80
01/01/2012,4963954576.84
01/02/2012,4967753450.37
01/03/2012,5063813573.69
01/04/2012,5027747964.92
01/05/2012,5055211378.94
01/06/2012,5100292843.34
01/07/2012,5104114982.75
01/08/2012,5123551112.11
01/09/2012,5091448044.76
01/10/2012,5187025103.55
01/11/2012,5190395258.18
01/12/2012,5306754530.68
01/01/2013,5293968556.15
01/02/2013,5297301365.86
01/03/2013,5319918051.60
01/04/2013,5285413685.63
01/05/2013,5326721542.31
01/06/2013,5469573182.35
01/07/2013,5520228165.17
01/08/2013,5554395123.70
01/09/2013,5534930381.22
01/10/2013,5600967123.89
01/11/2013,5698579402.52
01/12/2013,5872306248.22
01/01/2014,5881668900.33
01/02/2014,5859314859.71
01/03/2014,5852057425.38
01/04/2014,5967748670.91
01/05/2014,5990793818.11
01/06/2014,6060946402.78
01/07/2014,6111404448.56
01/08/2014,6123665718.47
01/09/2014,6114631327.77
01/10/2014,6163058348.86
01/11/2014,6208067094.41
01/12/2014,6356234193.58
01/01/2015,6497554673.57
01/02/2015,6483423543.22
01/03/2015,6418897094.02
01/04/2015,6476126231.09
01/05/2015,6536224878.12
01/06/2015,6537726406.15
01/07/2015,6548994514.44
01/08/2015,6551246163.17
01/09/2015,6558231867.93
01/10/2015,6614957229.47
01/11/2015,6515031607.00
01/12/2015,6761044534.70
01/01/2016,6804560202.11
01/02/2016,6771465678.32
01/03/2016,6816853592.75
01/04/2016,6879613016.02
01/05/2016,6987906902.06
01/06/2016,7119001193.24
01/07/2016,7168971857.18
01/08/2016,7116798712.91
01/09/2016,7231920684.28
01/10/2016,7269977359.85
01/11/2016,7381047628.01
01/12/2016,7662999027.08
01/01/2017,7603905361.09
01/02/2017,7587829340.54
01/03/2017,7540815124.36
01/04/2017,7555699222.79
01/05/2017,7559946604.30
01/06/2017,7676700268.54
01/07/2017,7739899619.69
01/08/2017,7698045371.72
01/09/2017,7846367662.41
01/10/2017,7935068634.34
01/11/2017,8061705113.86
01/12/2017,8394065090.48
01/01/2018,8236764222.43
01/02/2018,8262795220.30
01/03/2018,8306747097.20
01/04/2018,8399109746.04
