
"Banco de México"

"Índices de Precios al Consumidor y UDIS"
"Principales índices mensuales"

"Fecha de consulta: 26/11/2025 09:27:21"

"Aviso importante: Algunas de las series que está consultando registra un cambio, por favor consulte los metadatos de las mismas."

"Título","IPC Por objeto del gasto Nacional, I n d i c e G e n e r a l"
"Periodo disponible","Ene 1969 - Oct 2025"
"Periodicidad","Mensual"
"Cifra","Indices"
"Unidad","Sin Unidad"
"Base","2Q Jul 2018"
"Aviso","Acorde con la Ley del Sistema Nacional de Información Estadística y Geográfica, publicada en el Diario Oficial de la Federación el 16 de abril de 2008, a partir del 15 de julio de 2011 el Instituto Nacional de Estadística y Geografía (INEGI) tiene la facultad exclusiva de elaborar y publicar los índices nacionales de precios.  En consideración a lo anterior, la información sobre la inflación referente a junio de 2011 fue la última publicada por el Banco de México. El INEGI comenzó la difusión de la información con los resultados correspondientes a la primera quincena de julio de 2011."
"Tipo de información","Índices"
"Fecha","SP1"
01/01/2010,72.552046000000
01/02/2010,72.971671000000
01/03/2010,73.489725000000
01/04/2010,73.255565000000
01/05/2010,72.793978000000
01/06/2010,72.771183000000
01/07/2010,72.929190000000
01/08/2010,73.131750000000
01/09/2010,73.515110000000
01/10/2010,73.968926000000
01/11/2010,74.561581000000
01/12/2010,74.930954000000
01/01/2011,75.295991000000
01/02/2011,75.578460000000
01/03/2011,75.723451000000
01/04/2011,75.717441000000
01/05/2011,75.159264000000
01/06/2011,75.155508000000
01/07/2011,75.516107000000
01/08/2011,75.635555000000
01/09/2011,75.821113000000
01/10/2011,76.332712000000
01/11/2011,77.158333000000
01/12/2011,77.792385000000
01/01/2012,78.343049000000
01/02/2012,78.502314000000
01/03/2012,78.547389000000
01/04/2012,78.300980000000
01/05/2012,78.053819000000
01/06/2012,78.413667000000
01/07/2012,78.853897000000
01/08/2012,79.090540000000
01/09/2012,79.439119000000
01/10/2012,79.841036000000
01/11/2012,80.383437000000
01/12/2012,80.568243000000
01/01/2013,80.892782000000
01/02/2013,81.290943000000
01/03/2013,81.887433000000
01/04/2013,81.941523000000
01/05/2013,81.668820000000
01/06/2013,81.619238000000
01/07/2013,81.592193000000
01/08/2013,81.824328000000
01/09/2013,82.132340000000
01/10/2013,82.522988000000
01/11/2013,83.292265000000
01/12/2013,83.770058000000
01/01/2014,84.519052000000
01/02/2014,84.733157000000
01/03/2014,84.965292000000
01/04/2014,84.806779000000
01/05/2014,84.535579000000
01/06/2014,84.682072000000
01/07/2014,84.914959000000
01/08/2014,85.219965000000
01/09/2014,85.596340000000
01/10/2014,86.069626000000
01/11/2014,86.763778000000
01/12/2014,87.188984000000
01/01/2015,87.110103000000
01/02/2015,87.275377000000
01/03/2015,87.630717000000
01/04/2015,87.403840000000
01/05/2015,86.967366000000
01/06/2015,87.113108000000
01/07/2015,87.240820000000
01/08/2015,87.424875000000
01/09/2015,87.752419000000
01/10/2015,88.203919000000
01/11/2015,88.685468000000
01/12/2015,89.046818000000
01/01/2016,89.386381000000
01/02/2016,89.777781000000
01/03/2016,89.910001000000
01/04/2016,89.625278000000
01/05/2016,89.225615000000
01/06/2016,89.324028000000
01/07/2016,89.556914000000
01/08/2016,89.809333000000
01/09/2016,90.357744000000
01/10/2016,90.906154000000
01/11/2016,91.616834000000
01/12/2016,92.039035000000
01/01/2017,93.603882000000
01/02/2017,94.144780000000
01/03/2017,94.722489000000
01/04/2017,94.838933000000
01/05/2017,94.725494000000
01/06/2017,94.963640000000
01/07/2017,95.322736000000
01/08/2017,95.793768000000
01/09/2017,96.093515000000
01/10/2017,96.698269000000
01/11/2017,97.695174000000
01/12/2017,98.272883000000
01/01/2018,98.794999699501
01/02/2018,99.171374481640
01/03/2018,99.492156980588
01/04/2018,99.154847046097
01/05/2018,98.994080173087
01/06/2018,99.376464931787
01/07/2018,99.909099104514
01/08/2018,100.492000000000
01/09/2018,100.917000000000
01/10/2018,101.440000000000
01/11/2018,102.303000000000
01/12/2018,103.020000000000
01/01/2019,103.108000000000
01/02/2019,103.079000000000
01/03/2019,103.476000000000
01/04/2019,103.531000000000
01/05/2019,103.233000000000
01/06/2019,103.299000000000
01/07/2019,103.687000000000
01/08/2019,103.670000000000
01/09/2019,103.942000000000
01/10/2019,104.503000000000
01/11/2019,105.346000000000
01/12/2019,105.934000000000
01/01/2020,106.447000000000
01/02/2020,106.889000000000
01/03/2020,106.838000000000
01/04/2020,105.755000000000
01/05/2020,106.162000000000
01/06/2020,106.743000000000
01/07/2020,107.444000000000
01/08/2020,107.867000000000
